DES,UTDI,STK,SMART/FWB,,,,,
DES,TMV,STK,SMART/FWB,,,,,
DES,SMHN,STK,SMART/FWB,,,,,
DES,S92,STK,SMART/FWB,,,,,
DES,WAF,STK,SMART/FWB,,,,,
DES,SHL,STK,SMART/FWB,,,,,
DES,SRT3,STK,SMART/FWB,,,,,
DES,SAP,STK,SMART/FWB,,,,,
DES,QIA,STK,SMART/FWB,,,,,
DES,PNE3,STK,SMART/FWB,,,,,
DES,NDX1,STK,SMART/FWB,,,,,
DES,NEM,STK,SMART/FWB,,,,,
DES,NA9,STK,SMART/FWB,,,,,
DES,KTN,STK,SMART/FWB,,,,,
DES,JEN,STK,SMART/FWB,,,,,
DES,IFX,STK,SMART/FWB,,,,,
DES,HAG,STK,SMART/FWB,,,,,
DES,FNTN,STK,SMART/FWB,,,,,
DES,EVT,STK,SMART/FWB,,,,,
DES,EKT,STK,SMART/FWB,,,,,
DES,ELG,STK,SMART/FWB,,,,,
DES,EUZ,STK,SMART/FWB,,,,,
DES,DTE,STK,SMART/FWB,,,,,
DES,COP,STK,SMART/FWB,,,,,
DES,AFX,STK,SMART/FWB,,,,,
DES,COK,STK,SMART/FWB,,,,,
DES,BC8,STK,SMART/FWB,,,,,
DES,AOF,STK,SMART/FWB,,,,,
DES,AIXA,STK,SMART/FWB,,,,,
DES,1U1,STK,SMART/FWB,,,,,
